,W05p,W05se,W06p,W06se,W07p,W07se,W08p,W08se,W09p,W09se,W10p,W10se
scghqh-single-2 (%),5.05,0.27,6.48,0.3,6.08,0.29,4.57,0.22,NA,NA,7.4,0.27
scghqh-mixed-2 (%),12.19,0.39,12.29,0.39,11.2,0.38,9.03,0.32,NA,NA,7.08,0.28
scghqh-sign.Diff-2 (%),-7.14,***,-5.81,***,-5.12,***,-4.45,***,NA,NA,0.32,
scghqh-single-3 (%),0.61,0.1,0.44,0.08,0.47,0.08,0.3,0.06,NA,NA,0.79,0.09
scghqh-mixed-3 (%),1.15,0.13,1.35,0.14,0.92,0.11,0.8,0.1,NA,NA,0.6,0.09
scghqh-sign.Diff-3 (%),-0.54,***,-0.91,***,-0.45,***,-0.5,***,NA,NA,0.19,
scghqh-single-4 (%),0.08,0.03,0.12,0.04,0.14,0.05,0.07,0.03,NA,NA,0.06,0.03
scghqh-mixed-4 (%),0.29,0.06,0.21,0.06,0.14,0.05,0.21,0.05,NA,NA,0.15,0.04
scghqh-sign.Diff-4 (%),-0.21,***,-0.09,,-0.01,,-0.14,**,NA,NA,-0.08,
scghqh-single-NA (%),93.87,0.3,92.61,0.32,92.99,0.31,94.82,0.23,NA,NA,91.19,0.29
scghqh-mixed-NA (%),85.53,0.42,85.54,0.42,87.16,0.4,89.45,0.34,NA,NA,91.88,0.3
scghqh-sign.Diff-NA (%),8.34,***,7.06,***,5.82,***,5.37,***,NA,NA,-0.69,
scghqi-single-1 (%),2.33,0.19,2.84,0.21,3.07,0.21,2.23,0.16,NA,NA,3.53,0.19
scghqi-mixed-1 (%),5.29,0.27,4.96,0.26,4.96,0.26,4.24,0.22,NA,NA,3.29,0.2
scghqi-sign.Diff-1 (%),-2.96,***,-2.11,***,-1.88,***,-2.02,***,NA,NA,0.24,
scghqi-single-2 (%),2.68,0.2,3.24,0.22,2.78,0.2,2.24,0.16,NA,NA,3.69,0.2
scghqi-mixed-2 (%),6.36,0.29,6.3,0.29,5.82,0.28,4.53,0.23,NA,NA,3.47,0.2
