,W05p,W05se,W06p,W06se,W07p,W07se,W08p,W08se,W09p,W09se,W10p,W10se
j2has-mixed-1 (%),1.26,0.13,0.89,0.11,0.69,0.1,0.66,0.09,0.43,0.07,0.39,0.07
j2has-sign.Diff-1 (%),-0.52,***,-0.45,***,-0.34,***,-0.47,***,-0.21,**,0.03,
j2has-single-NA (%),89.32,0.38,90.6,0.36,92.67,0.32,94.5,0.24,95.01,0.23,90.74,0.3
j2has-mixed-NA (%),81.65,0.46,83.75,0.44,86.4,0.41,89.23,0.34,91.84,0.28,91.71,0.31
j2has-sign.Diff-NA (%),7.67,***,6.85,***,6.26,***,5.27,***,3.17,***,-0.97,**
jbhas-single-0 (%),5.22,0.27,4.38,0.25,3.51,0.23,3.01,0.18,2.69,0.17,4.86,0.22
jbhas-mixed-0 (%),9.23,0.35,7.66,0.32,6.65,0.3,4.87,0.24,3.77,0.2,3.74,0.21
jbhas-sign.Diff-0 (%),-4.01,***,-3.28,***,-3.13,***,-1.86,***,-1.08,***,1.11,***
jbhas-single-1 (%),6.54,0.3,5.8,0.29,4.02,0.24,2.7,0.17,2.43,0.17,4.9,0.22
jbhas-mixed-1 (%),10.24,0.36,9.14,0.34,7.16,0.31,6.2,0.27,4.53,0.21,4.62,0.23
jbhas-sign.Diff-1 (%),-3.7,***,-3.34,***,-3.15,***,-3.5,***,-2.11,***,0.27,
jbhas-single-NA (%),88.24,0.4,89.82,0.37,92.47,0.33,94.3,0.25,94.88,0.24,90.25,0.31
jbhas-mixed-NA (%),80.53,0.47,83.19,0.45,86.19,0.41,88.93,0.35,91.7,0.28,91.63,0.31
jbhas-sign.Diff-NA (%),7.71,***,6.63,***,6.28,***,5.37,***,3.18,***,-1.39,***
jbsemp-single-0 (%),NA,NA,NA,NA,0.62,0.1,0.41,0.07,0.36,0.06,0.69,0.09
jbsemp-mixed-0 (%),NA,NA,NA,NA,0.99,0.12,0.87,0.1,0.72,0.09,0.67,0.09
jbsemp-sign.Diff-0 (%),NA,NA,NA,NA,-0.36,**,-0.46,***,-0.36,***,0.02,
jbsemp-single-1 (%),NA,NA,NA,NA,3.7,0.23,2.42,0.16,2.25,0.16,4.56,0.22
jbsemp-mixed-1 (%),NA,NA,NA,NA,6.58,0.3,5.58,0.25,4.03,0.2,4.13,0.22
jbsemp-sign.Diff-1 (%),NA,NA,NA,NA,-2.88,***,-3.17,***,-1.78,***,0.43,
jbsemp-single-NA (%),NA,NA,NA,NA,95.68,0.25,97.17,0.18,97.39,0.17,94.74,0.23
jbsemp-mixed-NA (%),NA,NA,NA,NA,92.44,0.32,93.54,0.27,95.25,0.22,95.19,0.24
jbsemp-sign.Diff-NA (%),NA,NA,NA,NA,3.24,***,3.63,***,2.14,***,-0.45,
jbterm1-single-0 (%),NA,NA,NA,NA,0.43,0.08,0.25,0.05,0.18,0.05,0.44,0.07
jbterm1-mixed-0 (%),NA,NA,NA,NA,0.69,0.1,0.6,0.09,0.49,0.07,0.48,0.08
jbterm1-sign.Diff-0 (%),NA,NA,NA,NA,-0.26,**,-0.36,***,-0.3,***,-0.03,
jbterm1-single-1 (%),NA,NA,NA,NA,3.91,0.24,2.58,0.17,2.44,0.17,4.81,0.22
jbterm1-mixed-1 (%),NA,NA,NA,NA,6.89,0.3,5.84,0.26,4.26,0.21,4.33,0.23
jbterm1-sign.Diff-1 (%),NA,NA,NA,NA,-2.98,***,-3.26,***,-1.82,***,0.48,
jbterm1-single-NA (%),NA,NA,NA,NA,95.66,0.25,97.17,0.18,97.38,0.17,94.74,0.23
jbterm1-mixed-NA (%),NA,NA,NA,NA,92.42,0.32,93.56,0.27,95.26,0.22,95.19,0.24
jbterm1-sign.Diff-NA (%),NA,NA,NA,NA,3.24,***,3.62,***,2.12,***,-0.45,
lkmove-single-0 (%),7.27,0.32,6.53,0.3,5,0.27,3.95,0.21,NA,NA,2.77,0.17
lkmove-mixed-0 (%),12.05,0.39,11.02,0.37,9.56,0.35,7.19,0.29,NA,NA,2.37,0.17
lkmove-sign.Diff-0 (%),-4.78,***,-4.49,***,-4.55,***,-3.25,***,NA,NA,0.4,*
lkmove-single-1 (%),3.36,0.22,2.89,0.21,2.31,0.19,1.52,0.13,NA,NA,6.34,0.25
lkmove-mixed-1 (%),6.42,0.29,5.21,0.27,4.08,0.24,3.54,0.2,NA,NA,5.94,0.26
lkmove-sign.Diff-1 (%),-3.06,***,-2.32,***,-1.77,***,-2.02,***,NA,NA,0.4,
lkmove-single-NA (%),89.37,0.38,90.58,0.36,92.68,0.32,94.53,0.24,NA,NA,90.89,0.3
lkmove-mixed-NA (%),81.53,0.46,83.77,0.44,86.36,0.41,89.26,0.34,NA,NA,91.7,0.31
lkmove-sign.Diff-NA (%),7.83,***,6.82,***,6.32,***,5.27,***,NA,NA,-0.8,*
mobuse-single-0 (%),0.73,0.11,0.7,0.1,0.52,0.09,0.42,0.07,0.42,0.07,0.49,0.07
mobuse-mixed-0 (%),1.73,0.16,1.38,0.14,0.89,0.11,0.57,0.08,0.5,0.07,0.43,0.07
mobuse-sign.Diff-0 (%),-1,***,-0.68,***,-0.37,***,-0.14,,-0.08,,0.06,
mobuse-single-1 (%),11.03,0.39,9.51,0.36,7.01,0.31,5.27,0.24,4.7,0.23,9.27,0.3
mobuse-mixed-1 (%),17.84,0.46,15.49,0.43,13.02,0.4,10.55,0.34,7.81,0.28,7.96,0.3
mobuse-sign.Diff-1 (%),-6.81,***,-5.98,***,-6.01,***,-5.28,***,-3.11,***,1.31,***
mobuse-single-NA (%),88.24,0.4,89.79,0.37,92.47,0.33,94.31,0.25,94.88,0.24,90.25,0.31
mobuse-mixed-NA (%),80.43,0.47,83.14,0.45,86.09,0.41,88.88,0.35,91.69,0.28,91.61,0.31
mobuse-sign.Diff-NA (%),7.81,***,6.66,***,6.38,***,5.43,***,3.2,***,-1.36,***
scghqa-single-1 (%),0.15,0.05,0.3,0.07,0.24,0.06,0.12,0.04,NA,NA,0.4,0.07
scghqa-mixed-1 (%),0.36,0.07,0.5,0.08,0.26,0.06,0.28,0.06,NA,NA,0.25,0.05
scghqa-sign.Diff-1 (%),-0.21,**,-0.2,*,-0.01,,-0.16,**,NA,NA,0.15,*
scghqa-single-2 (%),4.99,0.27,6.15,0.3,5.81,0.29,4.32,0.21,NA,NA,7.07,0.27
scghqa-mixed-2 (%),11.81,0.39,11.33,0.38,10.76,0.37,8.63,0.31,NA,NA,6.78,0.28
scghqa-sign.Diff-2 (%),-6.82,***,-5.19,***,-4.95,***,-4.32,***,NA,NA,0.29,
scghqa-single-3 (%),0.88,0.12,0.79,0.11,0.81,0.11,0.67,0.09,NA,NA,1.21,0.11
scghqa-mixed-3 (%),2.11,0.17,2.31,0.18,1.59,0.15,1.44,0.13,NA,NA,1.01,0.11
scghqa-sign.Diff-3 (%),-1.22,***,-1.52,***,-0.78,***,-0.77,***,NA,NA,0.21,
scghqa-single-4 (%),0.11,0.04,0.14,0.05,0.15,0.05,0.07,0.03,NA,NA,0.12,0.04
scghqa-mixed-4 (%),0.21,0.06,0.33,0.07,0.23,0.06,0.22,0.05,NA,NA,0.12,0.04
scghqa-sign.Diff-4 (%),-0.11,,-0.19,**,-0.08,,-0.15,***,NA,NA,0,
scghqa-single-NA (%),93.87,0.3,92.62,0.32,92.99,0.31,94.82,0.23,NA,NA,91.2,0.29
scghqa-mixed-NA (%),85.52,0.42,85.53,0.42,87.16,0.4,89.42,0.34,NA,NA,91.84,0.3
scghqa-sign.Diff-NA (%),8.35,***,7.09,***,5.82,***,5.4,***,NA,NA,-0.65,
scghqb-single-1 (%),2.31,0.19,2.75,0.2,2.84,0.21,2.16,0.15,NA,NA,3.55,0.19
scghqb-mixed-1 (%),5.4,0.27,4.94,0.26,4.76,0.25,4.06,0.22,NA,NA,2.78,0.18
scghqb-sign.Diff-1 (%),-3.09,***,-2.19,***,-1.91,***,-1.9,***,NA,NA,0.76,***
scghqb-single-2 (%),2.74,0.2,3.53,0.23,3.12,0.21,2.43,0.16,NA,NA,3.73,0.2
scghqb-mixed-2 (%),6.7,0.3,6.73,0.3,5.96,0.28,5.01,0.24,NA,NA,4.12,0.22
scghqb-sign.Diff-2 (%),-3.97,***,-3.2,***,-2.84,***,-2.58,***,NA,NA,-0.39,
scghqb-single-3 (%),0.9,0.12,0.91,0.12,0.71,0.1,0.46,0.07,NA,NA,1.15,0.11
scghqb-mixed-3 (%),1.92,0.16,2.19,0.18,1.68,0.15,1.18,0.12,NA,NA,1.02,0.11
scghqb-sign.Diff-3 (%),-1.02,***,-1.28,***,-0.96,***,-0.72,***,NA,NA,0.13,
scghqb-single-4 (%),0.18,0.05,0.2,0.05,0.33,0.07,0.13,0.04,NA,NA,0.38,0.06
scghqb-mixed-4 (%),0.47,0.08,0.59,0.09,0.42,0.08,0.32,0.06,NA,NA,0.23,0.05
scghqb-sign.Diff-4 (%),-0.29,***,-0.39,***,-0.08,,-0.19,**,NA,NA,0.15,*
scghqb-single-NA (%),93.87,0.3,92.61,0.32,92.99,0.31,94.82,0.23,NA,NA,91.2,0.29
scghqb-mixed-NA (%),85.5,0.42,85.54,0.42,87.19,0.4,89.44,0.34,NA,NA,91.84,0.3
scghqb-sign.Diff-NA (%),8.37,***,7.06,***,5.8,***,5.39,***,NA,NA,-0.65,
scghqc-single-1 (%),0.49,0.09,0.64,0.1,0.52,0.09,0.44,0.07,NA,NA,0.76,0.09
scghqc-mixed-1 (%),1.15,0.13,0.96,0.12,0.87,0.11,0.75,0.1,NA,NA,0.53,0.08
scghqc-sign.Diff-1 (%),-0.66,***,-0.32,**,-0.36,**,-0.31,***,NA,NA,0.23,*
scghqc-single-2 (%),4.72,0.26,5.84,0.29,5.57,0.28,4.17,0.21,NA,NA,6.72,0.26
scghqc-mixed-2 (%),11.3,0.38,11.38,0.38,10.19,0.36,8.42,0.31,NA,NA,6.51,0.27
scghqc-sign.Diff-2 (%),-6.59,***,-5.53,***,-4.62,***,-4.25,***,NA,NA,0.2,
scghqc-single-3 (%),0.71,0.1,0.65,0.1,0.73,0.11,0.47,0.07,NA,NA,1.08,0.11
scghqc-mixed-3 (%),1.42,0.14,1.65,0.15,1.36,0.14,1.14,0.12,NA,NA,0.87,0.1
scghqc-sign.Diff-3 (%),-0.7,***,-0.99,***,-0.63,***,-0.67,***,NA,NA,0.21,
scghqc-single-4 (%),0.21,0.06,0.24,0.06,0.2,0.05,0.1,0.03,NA,NA,0.24,0.05
scghqc-mixed-4 (%),0.57,0.09,0.43,0.08,0.36,0.07,0.25,0.05,NA,NA,0.23,0.05
scghqc-sign.Diff-4 (%),-0.36,***,-0.19,*,-0.16,*,-0.15,**,NA,NA,0,
scghqc-single-NA (%),93.87,0.3,92.62,0.32,92.99,0.31,94.82,0.23,NA,NA,91.21,0.29
scghqc-mixed-NA (%),85.56,0.42,85.59,0.42,87.22,0.4,89.44,0.34,NA,NA,91.86,0.3
scghqc-sign.Diff-NA (%),8.31,***,7.04,***,5.77,***,5.39,***,NA,NA,-0.65,
scghqd-single-1 (%),0.47,0.08,0.46,0.08,0.3,0.07,0.32,0.06,NA,NA,0.53,0.08
scghqd-mixed-1 (%),0.85,0.11,0.8,0.11,0.64,0.1,0.68,0.09,NA,NA,0.32,0.06
scghqd-sign.Diff-1 (%),-0.37,***,-0.35,**,-0.34,***,-0.35,***,NA,NA,0.21,**
scghqd-single-2 (%),5.14,0.27,6.42,0.3,6.25,0.3,4.53,0.22,NA,NA,7.46,0.27
scghqd-mixed-2 (%),12.58,0.4,12.23,0.39,11.19,0.38,8.95,0.32,NA,NA,7.18,0.29
scghqd-sign.Diff-2 (%),-7.44,***,-5.82,***,-4.94,***,-4.42,***,NA,NA,0.29,
scghqd-single-3 (%),0.44,0.08,0.46,0.08,0.35,0.07,0.29,0.06,NA,NA,0.72,0.09
scghqd-mixed-3 (%),0.95,0.12,1.17,0.13,0.89,0.11,0.73,0.09,NA,NA,0.55,0.08
scghqd-sign.Diff-3 (%),-0.5,***,-0.72,***,-0.54,***,-0.43,***,NA,NA,0.17,
