,W05p,W05se,W06p,W06se,W07p,W07se,W08p,W08se,W09p,W09se,W10p,W10se
scghqf-4 (%),0.75,0.13,0.92,0.15,1.63,0.2,1.17,0.17,NA,NA,1.41,0.18
scghqf-NA (%),65.61,0.74,58.53,0.77,46.23,0.78,47.03,0.78,NA,NA,41.71,0.77
scghqg-1 (%),1.39,0.18,1.6,0.2,2.63,0.25,2.58,0.25,NA,NA,3.4,0.28
scghqg-2 (%),26.93,0.69,32.52,0.73,42.66,0.77,42.22,0.77,NA,NA,45.04,0.78
scghqg-3 (%),5.01,0.34,6,0.37,7,0.4,6.76,0.39,NA,NA,8.09,0.43
scghqg-4 (%),1.02,0.16,1.39,0.18,1.51,0.19,1.46,0.19,NA,NA,1.77,0.21
scghqg-NA (%),65.65,0.74,58.48,0.77,46.21,0.78,46.99,0.78,NA,NA,41.69,0.77
scghqh-1 (%),2.07,0.22,1.97,0.22,2.92,0.26,2.94,0.26,NA,NA,3.52,0.29
scghqh-2 (%),28.76,0.71,35.29,0.75,46.21,0.78,45.04,0.78,NA,NA,48.69,0.78
scghqh-3 (%),2.92,0.26,3.57,0.29,3.74,0.3,3.84,0.3,NA,NA,4.93,0.34
scghqh-4 (%),0.61,0.12,0.68,0.13,0.9,0.15,1.14,0.17,NA,NA,1.12,0.16
scghqh-NA (%),65.65,0.74,58.48,0.77,46.23,0.78,47.03,0.78,NA,NA,41.74,0.77
scghqi-1 (%),12.69,0.52,14.75,0.55,21.88,0.64,22.27,0.65,NA,NA,22.75,0.65
scghqi-2 (%),15.07,0.56,18.11,0.6,22.82,0.65,21.93,0.65,NA,NA,24.72,0.67
scghqi-3 (%),5.47,0.35,7.46,0.41,6.93,0.4,7.15,0.4,NA,NA,8.39,0.43
scghqi-4 (%),1.19,0.17,1.17,0.17,2.11,0.22,1.7,0.2,NA,NA,2.53,0.24
scghqi-NA (%),65.58,0.74,58.51,0.77,46.26,0.78,46.96,0.78,NA,NA,41.61,0.77
scghqj-1 (%),15.34,0.56,17.6,0.59,25.72,0.68,25.62,0.68,NA,NA,26.45,0.69
scghqj-2 (%),14.03,0.54,17.65,0.59,20.18,0.63,19.96,0.62,NA,NA,22.8,0.65
scghqj-3 (%),3.89,0.3,5.18,0.35,5.93,0.37,5.83,0.37,NA,NA,7.05,0.4
scghqj-4 (%),1.17,0.17,1.09,0.16,1.94,0.22,1.58,0.19,NA,NA,2.09,0.22
scghqj-NA (%),65.58,0.74,58.48,0.77,46.23,0.78,47.01,0.78,NA,NA,41.61,0.77
scghqk-1 (%),24.02,0.67,27.35,0.69,38.6,0.76,37.65,0.76,NA,NA,39.4,0.76
scghqk-2 (%),7.78,0.42,10.89,0.49,10.84,0.48,10.94,0.49,NA,NA,13.78,0.54
scghqk-3 (%),1.7,0.2,2.36,0.24,3.01,0.27,3.28,0.28,NA,NA,3.62,0.29
scghqk-4 (%),0.9,0.15,0.9,0.15,1.31,0.18,1.12,0.16,NA,NA,1.48,0.19
scghqk-NA (%),65.61,0.74,58.51,0.77,46.23,0.78,47.01,0.78,NA,NA,41.71,0.77
scghql-1 (%),3.31,0.28,2.92,0.26,5.27,0.35,5.37,0.35,NA,NA,5.47,0.35
scghql-2 (%),26.84,0.69,32.57,0.73,41.74,0.77,41.2,0.77,NA,NA,45.04,0.78
scghql-3 (%),3.35,0.28,5.13,0.34,5.15,0.34,5.08,0.34,NA,NA,6.27,0.38
scghql-4 (%),0.88,0.15,0.92,0.15,1.53,0.19,1.36,0.18,NA,NA,1.56,0.19
scghql-NA (%),65.63,0.74,58.46,0.77,46.31,0.78,46.99,0.78,NA,NA,41.66,0.77
scsf2a-1 (%),2.77,0.26,3.33,0.28,3.67,0.29,4.35,0.32,NA,NA,4.79,0.33
scsf2a-2 (%),5.93,0.37,7.63,0.41,10.43,0.48,10.57,0.48,NA,NA,9.72,0.46
scsf2a-3 (%),25.67,0.68,30.58,0.72,39.89,0.76,38.43,0.76,NA,NA,42.93,0.77
scsf2a-NA (%),65.63,0.74,58.46,0.77,46.01,0.78,46.65,0.78,NA,NA,42.56,0.77
scsf2b-1 (%),3.31,0.28,4.06,0.31,4.86,0.34,5.08,0.34,NA,NA,6.03,0.37
scsf2b-2 (%),6.56,0.39,8.07,0.42,10.96,0.49,11.4,0.5,NA,NA,11.38,0.5
scsf2b-3 (%),24.33,0.67,29.14,0.71,38.21,0.76,36.87,0.75,NA,NA,40.01,0.76
scsf2b-NA (%),65.8,0.74,58.73,0.77,45.96,0.78,46.65,0.78,NA,NA,42.59,0.77
smoker-0 (%),NA,NA,NA,NA,47.67,0.78,46.48,0.78,44.94,0.78,51.51,0.78
smoker-1 (%),NA,NA,NA,NA,9.14,0.45,8.6,0.44,7.75,0.42,8.73,0.44
smoker-NA (%),NA,NA,NA,NA,43.19,0.77,44.92,0.78,47.3,0.78,39.77,0.76
vote1-0 (%),32.84,0.73,35.95,0.75,38.04,0.76,NA,NA,NA,NA,NA,NA
vote1-1 (%),15.07,0.56,12.88,0.52,18.06,0.6,NA,NA,NA,NA,NA,NA
vote1-NA (%),52.09,0.78,51.17,0.78,43.9,0.77,NA,NA,NA,NA,NA,NA
vote6-1 (%),4.16,0.31,4.47,0.32,5.4,0.35,NA,NA,NA,NA,NA,NA
vote6-2 (%),17.6,0.59,15.51,0.56,20.9,0.63,NA,NA,NA,NA,NA,NA
vote6-3 (%),14.1,0.54,14.92,0.56,17.79,0.6,NA,NA,NA,NA,NA,NA
vote6-4 (%),12.28,0.51,14,0.54,12.42,0.51,NA,NA,NA,NA,NA,NA
vote6-NA (%),51.87,0.78,51.09,0.78,43.49,0.77,NA,NA,NA,NA,NA,NA
xpmove-0 (%),42.68,0.77,43.34,0.77,49.03,0.78,47.67,0.78,NA,NA,52.94,0.78
xpmove-1 (%),5.74,0.36,5.83,0.37,6.15,0.37,5.69,0.36,NA,NA,5.71,0.36
xpmove-NA (%),51.58,0.78,50.83,0.78,44.82,0.78,46.65,0.78,NA,NA,41.35,0.77
