,var.overlap,prop.overlap
179,scsf4b_h|scsf4b_j,0.722
180,NA,NA
181,scsf5_e|scsf5_f,0.775
182,scsf5_f|scsf5_g,0.736
183,scsf5_g|scsf5_h,0.813
184,scsf5_h|scsf5_j,0.741
185,NA,NA
186,scsf6a_e|scsf6a_f,0.774
187,scsf6a_f|scsf6a_g,0.734
188,scsf6a_g|scsf6a_h,0.813
189,scsf6a_h|scsf6a_j,0.728
190,NA,NA
191,scsf6b_e|scsf6b_f,0.773
192,scsf6b_f|scsf6b_g,0.735
193,scsf6b_g|scsf6b_h,0.813
194,scsf6b_h|scsf6b_j,0.728
195,NA,NA
196,scsf6c_e|scsf6c_f,0.775
197,scsf6c_f|scsf6c_g,0.735
198,scsf6c_g|scsf6c_h,0.812
199,scsf6c_h|scsf6c_j,0.729
200,NA,NA
201,scsf7_e|scsf7_f,0.775
202,scsf7_f|scsf7_g,0.734
203,scsf7_g|scsf7_h,0.812
204,scsf7_h|scsf7_j,0.741
205,NA,NA
206,smoker_g|smoker_h,0.824
207,smoker_h|smoker_i,0.85
208,smoker_i|smoker_j,0.811
209,NA,NA
210,vote1_e|vote1_f,0.856
211,vote1_f|vote1_g,0.741
212,NA,NA
213,vote2_e|vote2_f,0.762
214,vote2_f|vote2_g,0.604
215,NA,NA
216,vote6_e|vote6_f,0.855
217,vote6_f|vote6_g,0.744
218,NA,NA
219,xpmove_e|xpmove_f,0.856
220,xpmove_f|xpmove_g,0.731
221,xpmove_g|xpmove_h,0.81
222,xpmove_h|xpmove_j,0.738
